"","sensor_id","poll_measure","date","time","sensor_streetname","sensor_lat","sensor_long","sensor_type"
"89",5504,43,"2013/11/04","02:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"90",5504,40,"2013/11/04","03:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"91",5504,38,"2013/11/04","04:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"92",5504,37,"2013/11/04","05:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"93",5504,36,"2013/11/04","06:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"94",5504,69,"2013/11/02","15:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"95",5504,61,"2013/11/02","16:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"96",5504,57,"2013/11/02","17:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"97",5504,65,"2013/11/02","18:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"98",5504,68,"2013/11/02","19:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"99",5504,68,"2013/11/04","12:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"100",5504,69,"2013/11/04","13:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"101",5504,64,"2013/11/04","14:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"102",5504,71,"2013/11/04","15:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"103",5504,67,"2013/11/04","16:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"104",5504,72,"2013/11/04","17:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"105",5504,75,"2013/11/04","18:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"106",5504,65,"2013/11/04","19:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"107",5504,73,"2013/11/04","20:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"108",5504,63,"2013/11/04","21:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"109",5504,58,"2013/11/04","22:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"110",5504,52,"2013/11/04","23:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"111",5504,58,"2013/11/05","00:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"112",5504,47,"2013/11/05","01:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"113",5504,49,"2013/11/05","02:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"114",5504,42,"2013/11/05","03:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"115",5504,33,"2013/11/05","04:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"116",5504,37,"2013/11/05","05:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"117",5504,39,"2013/11/05","06:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"118",5504,49,"2013/11/05","07:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"119",5504,60,"2013/11/05","08:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"120",5504,68,"2013/11/05","09:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"121",5504,67,"2013/11/05","10:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"122",5504,51,"2013/11/05","11:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"123",5504,42,"2013/11/05","12:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"124",5504,39,"2013/11/05","13:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"125",5504,41,"2013/11/05","14:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"126",5504,36,"2013/11/05","15:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"127",5504,54,"2013/11/05","16:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"128",5504,59,"2013/11/05","17:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"129",5504,51,"2013/11/05","18:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"130",5504,48,"2013/11/05","19:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"131",5504,51,"2013/11/05","20:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"132",5504,70,"2013/11/05","21:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"133",5504,66,"2013/11/05","22:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"134",5504,58,"2013/11/05","23:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"135",5504,51,"2013/11/06","00:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"136",5504,46,"2013/11/06","01:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"137",5504,47,"2013/11/06","02:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"138",5504,46,"2013/11/06","03:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"139",5504,44,"2013/11/06","04:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"140",5504,40,"2013/11/06","05:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"141",5504,37,"2013/11/06","06:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"142",5504,36,"2013/11/06","07:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"143",5504,41,"2013/11/06","08:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"144",5504,42,"2013/11/06","09:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"145",5504,45,"2013/11/06","10:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"146",5504,45,"2013/11/06","11:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"147",5504,44,"2013/11/06","12:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"148",5504,41,"2013/11/06","13:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"149",5504,40,"2013/11/06","14:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"150",5504,37,"2013/11/06","15:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"151",5504,30,"2013/11/06","16:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"152",5504,39,"2013/11/06","17:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"153",5504,54,"2013/11/06","18:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"154",5504,68,"2013/11/06","19:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"155",5504,66,"2013/11/06","20:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"156",5504,65,"2013/11/06","21:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"157",5504,58,"2013/11/06","22:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"158",5504,49,"2013/11/06","23:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"159",5504,46,"2013/11/07","00:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"160",5504,42,"2013/11/07","01:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"161",5504,41,"2013/11/07","02:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"162",5504,39,"2013/11/07","03:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"163",5504,38,"2013/11/07","04:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"164",5504,35,"2013/11/07","05:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"165",5504,36,"2013/11/07","06:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"166",5504,41,"2013/11/07","07:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"167",5504,57,"2013/11/07","08:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"168",5504,62,"2013/11/07","09:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"169",5504,67,"2013/11/07","10:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"170",5504,58,"2013/11/07","11:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"171",5504,56,"2013/11/07","12:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"172",5504,51,"2013/11/07","13:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"173",5504,42,"2013/11/07","14:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
"174",5504,55,"2013/11/07","15:00","Milano - viale Marche",45.496067,9.193023,"Nitrogen Dioxide"
