"","id","measure","date","street","lat","long","type","unit","format","id_char","type_and_unit","normal_measure"
"68",6956,43,"2013/11/09","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.246666666666667
"69",6956,26,"2013/11/10","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.133333333333333
"70",6956,17,"2013/11/11","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0733333333333333
"71",6956,35,"2013/11/12","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.193333333333333
"72",6956,61,"2013/11/13","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.366666666666667
"73",6956,42,"2013/11/14","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.24
"74",6956,13,"2013/11/15","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0466666666666667
"75",6956,27,"2013/11/16","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.14
"76",6956,27,"2013/11/17","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.14
"77",6956,33,"2013/11/18","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.18
"78",6956,20,"2013/11/19","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0933333333333333
"79",6956,21,"2013/11/20","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.1
"80",6956,14,"2013/11/21","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0533333333333333
"81",6956,16,"2013/11/22","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0666666666666667
"82",6956,22,"2013/11/23","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.106666666666667
"83",6956,26,"2013/11/24","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.133333333333333
"84",6956,36,"2013/11/25","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.2
"85",6956,21,"2013/11/26","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.1
"86",6956,37,"2013/11/27","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.206666666666667
"87",6956,40,"2013/11/28","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.226666666666667
"88",6956,61,"2013/11/29","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.366666666666667
"89",6956,57,"2013/11/30","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.34
"90",6956,48,"2013/12/01","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.28
"91",6956,57,"2013/12/02","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.34
"92",6956,63,"2013/12/03","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.38
"93",6956,64,"2013/12/04","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.386666666666667
"94",6956,89,"2013/12/05","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.553333333333333
"95",6956,72,"2013/12/07","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.44
"96",6956,103,"2013/12/12","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.646666666666667
"97",6956,74,"2013/12/13","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.453333333333333
"98",6956,58,"2013/12/14","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.346666666666667
"99",6956,85,"2013/12/15","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.526666666666667
"100",6956,79,"2013/12/16","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.486666666666667
"101",6956,79,"2013/12/17","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.486666666666667
"102",6956,24,"2013/12/20","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.12
"103",6956,36,"2013/12/21","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.2
"104",6956,41,"2013/12/22","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.233333333333333
"105",6956,44,"2013/12/23","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.253333333333333
"106",6956,18,"2013/12/24","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.08
"107",6956,10,"2013/12/25","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0266666666666667
"108",6956,6,"2013/12/26","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0
"109",6956,29,"2013/12/27","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.153333333333333
"110",6956,30,"2013/12/28","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.16
"111",6956,17,"2013/12/29","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.0733333333333333
"112",6956,24,"2013/12/30","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.12
"113",6956,33,"2013/12/31","Milano - via Verziere",45.463171,9.195995,"PM10 (SM2005)","µg/m","YYYY/MM/DD","6956","PM10 (SM2005)-µg/m",0.18
